"Word Part: Root","Meaning"
"cyst/o","bladder"
"glomerul/o","glomerulus"
"lith/o","stone"
"nephr/o, ren/o","kidney"
"noct/o","night"
"olig/o","little, few"
"py/o","pus"
"pyel/o","pelvis"
"ur/o, urin/o","urine"
"ureter/o","ureter"
"urethr/o","urethra"
