"Word Part: Root","Meaning"
"angi/o","vessel"
"arteri/o","artery"
"ather/o","fatty"
"atri/o","atrium"
"cardi/o","heart"
"coron/o","crown; encircling"
"hem/o, hemat/o","blood"
"isch","restricted, narrowed"
"my/o","muscle"
"ox/o","oxygen"
"phleb/o","vein"
"thromb/o","clot"
"varic/o","dilated"
"vas/o","vessel"
"ven/o","vein"
