"Word Part: Root","Meaning"
"anter/o","front, anterior"
"cerv/o","neck"
"chondr/o","cartilage"
"cyt/o","cell"
"dors/o","back"
"gastr/o","stomach"
"inguin/o","groin"
"my/o","muscle"
"myel/o","spinal cord"
"neur/o","nerve, neuron"
"poster/o","posterior, back"
"proxim/o","near"
"sarc","flesh"
"super/o","superior"
