"Word Part: Root","Meaning"
"bronch/o, bronchi/o","bronchus"
"laryng/o","larynx"
"nas/o, rhin/o","nose"
"or/o","mouth, opening"
"ox/o","oxygen"
"phren/o","diaphragm"
"pleur/o","pleura"
"pneum/o, pneumon/o","air, lung"
"pulmon/o","lung"
"sinus/o","sinus cavity"
"thorac/o, thorac/i, 
thoracic/o","thorax, chest"
"trache/o","trachea"
