"Word Part: Root","Meaning"
"cardi/o","heart"
"fasci/o","fibrous membrane"
"fibr/o","fiber"
"kinesi/o","movement"
"muscul/o","muscle"
"my/o","muscle"
"orth/o","straight"
"oste/o","bone"
"pedics","child"
"scler/o","hard"
"sthen/o","strength"
"tend/o, tendin/o","tendon"
"ton/o","tone"
