"Word Part: Root","Meaning"
"cephal/o","head"
"cerebell/o","the cerebellum"
"cerebr/o","the cerebrum; the brain"
"cortic/o","outer layer or covering"
"encephal/o","brain"
"esthesi/o","sensation"
"gli/o","glue"
"hydr/o","water"
"iatr/o","physician; to treat"
"meningi/o","a membrane"
"ment/o","referring to the mind"
"schiz/o","to split"
"psych/o","referring to the mind"
