"Word Part: Root","Meaning"
"bucc/o","cheek"
"cheil/o","lip"
"cholecyst/o","gallbladder"
"dent/i, dent/o","teeth"
"enter/o","intestine"
"gastr/o","stomach"
"gingiv/o","gums"
"gloss/o","tongue"
"hepat/o","liver"
"phag/o","eating, swallowing"
"proct/o","anus and rectum"
"sial/o","salivary glands"
"stomat/o","mouth"
